name,category,min_players,max_players,description
Colossal Arena,Card Game,2,5,"Colossal Arena/Titan: This is a strategic card game for 2 to 5 players: you play, not as combatants, but as spectators, cheering and betting on the melee ongoing in a fantasy arena/colosseum in which fantasy creatures are pitted against each other in battle!&#10;&#10;Each round one of the creatures will die. To decide which unlucky soul will be the victim, players put numbered power cards in front of the creatures, with the lowest one going to the graveyard.  The jockeying for position and strategic diplomacy in playing the numbered power cards can be intense - but what makes this game even more interesting is that the players' place bets throughout the game which will sometimes allow them to use a creature's special power in battle!&#10;&#10;The winner at the end of the game is the bettor who's raked in the most winnings - just another day in the life of a fantasy monster gambler.&#10;&#10;Titan: The Arena is actually a reworking of a Reiner Knizia game called Grand National Derby, but Avalon Hill's remake was quite significant from a gameplay standpoint.&#10;&#10;The Titan: The Arena printing is often confused with its namesake, Titan.  But other than the fact that they both use fantasy creatures as a general theme, there is very little that is similar between the two.&#10;&#10;Reimplemented by: Galaxy: The Dark Ages&#10;&#10;"
Compatibility,Card Game,4,6,"Play is in teams of two. Each person has a deck of picture cards. Each deck has the same set of pictures. There is also a deck of word cards with words like &quot;marriage&quot;, &quot;de facto&quot;, and &quot;pimple&quot;.&#10;&#10;A word is chosen and each player chooses 2-5 cards from his/her deck. Teams score points for choosing the same pictures, and score extra points for putting the pictures in the same order (from most to least important).&#10;&#10;The board is used to keep track of the score, and to dictate how many pictures a team may select. First team to the end wins.&#10;&#10;Re-implemented by:&#10;&#10;    Compatibility 15th Anniversary Edition&#10;&#10;&#10;&#10;&#10;"
Connect Four,Abstract Strategy,2,2,"Connect 4 is a well known vertical game played with &quot;checkers&quot; (it is more akin to Tic Tac Toe or Go Moku).&#10;&#10;The board is placed in the stand to hold it vertically and the players drop checkers into one of the 7 slots, each of which holds 6 of the &quot;checker's&quot; men, until one player succeeds in getting 4 in a row--horizontally, vertically or diagonally.&#10;&#10;The game is actually non-proprietary and nicer adult versions can be found under the name The Captain's Mistress.&#10;&#10;"
Cootie,Animals,2,4,"Players race to construct a plastic bug, rolling a die to see which piece they get to add.&#10;&#10;The Hennepin History Museum states that the first Cootie game was designed by William H. Schaper in 1949. However, Schaper's game was not the first based upon the insect known as the &quot;cootie&quot;. The creature was the subject of several tabletop games, mostly pencil and paper games, in the decades of the twentieth century following World War I.&#10;&#10;In 1927, the J. H. Warder Company of Chicago released Tu-Tee, and the Charles Bowlby Company released Cootie; though based on a &quot;build a bug&quot; concept similar to Schaper's, both were paper and pencil games.&#10;Schaper's game was the first to employ a fully three dimensional, free-standing plastic cootie.&#10;&#10;Known in Australia as Creepy Critters and in the UK as Beetle Drive.&#10;&#10;"
Cosmic Cows,Animals,2,2,"from translation:&#10;OBJECT:&#10;First player to advance three (3) pawns into his win zone&#10;&#10;PLAY:&#10;&#10;(the dice rolling for all practical purposes follows standard &ldquo;yahtzee&rdquo; format)&#10;Player rolls all five dice, then may set aside any of them to establish any of the NINE zones (chance, 1, 2, 3, Kniffell, 4, 5, 6, straights)&#10;Player may set aside, pick up, re-roll any dice up to THREE rolls while trying to create the best combination of dice to move a pawn(s). To move a pawn, one of the following dice combinations must be created:&#10;Pair (zwilling) Move the pawn two (2) spaces towards player rolling dice,&#10;i.e. a pair of 4&rsquo;s = move the #4 pawn two spaces.&#10;Triples (drilling) Same as above, but move three (3) spaces.&#10;Four of a kind (Vierling) Same as above, but move pawn four (4) spaces&#10;Two Pair (doppell zwilling) Move each corresponding pawn two (2) spaces&#10;Full House Move corresponding pawns three (3) spaces / two (2) spaces&#10;NOTE: Two Pair &amp; Full House are the ONLY combos that allow a player to move TWO PAWNS in one turn&#10;Five of a kind (Kniffel) Move the center pawn (Kniffel) all the way to player&rsquo;s back win zone. If pawn is in opponent&rsquo;s back win zone, move to center. Player MUST move the Kniffel pawn, when possible. Only when player has Kniffel pawn in his win zone, may he then move the corresponding dice # five spaces towards his win zone.&#10; Straights (Stra&szlig;e) A small (kleine) straight (4 dice in sequence) moves pawn three (3) spaces, a large (gro&szlig;e) straight, moves pawn four (4) spaces.&#10;Chance Total all dice. Total = 10 - 12 OR 23 - 25, move pawn three (3) spaces.&#10;Total = 5 - 9 OR 26 - 30, move pawn four (4) spaces.&#10;Player MUST choose one of these options to move a pawn. He may not combined them, i.e., small straight w/ a pair. 1, 2, 3, 4, 3. After the third roll, if player has no options to move a pawn, he forfeits his roll. Players do NOT need an exact count to move pawn back to its last line in his win zone. Excess moves are lost.&#10;Pawns are neutral, regardless of their location on the board. A pawn in a player&rsquo;s WINZONE can be moved out with the proper dice roll by his opponent.&#10;Game ends immediately when either player has THREE pawns in his win zone.&#10;&#10;Redevelopment of:&#10;&#10;Quadwrangle&#10;&#10;From the publisher, Playroom Entertainment:&#10;It's time for the Annual Extraterrestrial Cow-Pulling Contest, and aliens from all over the galaxy have come to watch the event!  Go head to head with your cross-cosmos rival to see who can abduct three Cosmic Cows&trade; first!&#10;&#10;Roll different combinations on the dice to choose which tractor beam to use in order to abduct the cows.  With a good mix of strategic offensive and defensive maneuvers, decide which combination of the unknowing bovines to pull toward your spaceship or away from your opponent's!  The player that pulls three cows into their Danger Zone wins, in this dicey game of alien tug-of-war!&#10;&#10;For 2 Players or Teams, 20 Minute Playing Time, Ages 8 to Adult&#10;&#10;Designer: Maureen Hiron&#10;&#10;Contents: Gameboard, 10 Dice, 10 Cow Pawns and Instructions in English, Spanish &amp; French&#10;&#10;"
Crazy Circus,Animals,1,10,"Crazy Circus &ndash; one of many names under which this design has been released &ndash; is a simultaneous puzzle solving game. Three animals stand on two platforms, and you are trying to change their configuration to match a target card by issuing commands like &quot;Ma&quot;, which moves the bottom animal on one platform to the top, or &quot;Ni&quot; which swaps the top two animals on the two platforms. As a result, the game is a race to shout out multi-syllable commands such as the eponymous &quot;MaNiKi&quot;, or &quot;LoNiMaSo&quot;. The first player to do so correctly wins the target card, and whoever collects the most cards wins!&#10;&#10;"
Crocodile Pool Party,Abstract Strategy,2,2,"From the Rio Grande website:&#10;&#10;The crocodiles are loose in the luxurious hotel swimming pool! Just seconds ago, the vacationers were enjoying the cool water of the pool, but what is that? A crocodile has just entered the pool - and now there is one less swimmer! Wow! Theres another croc - and another - and another. As the number of crocs in the water increases, the number of swimmers drops! But, the crocs hunt not only the hapless swimmers, but also other crocodiles. Thus, all in the pool strive to save themselves! The player who brings the most swimmers and crocs to the safety of the end of the pool, will win the game!&#10;&#10;For ages 8+.&#10;&#10;Crocodile Pool Party is part of the Kosmos two-player series.&#10;&#10;"
Crokinole,Action / Dexterity,2,4,"This game is like shuffleboard in the round.  Players take turns flicking disks on a board, trying to score points by attaining central regions.  The main stipulation being that contact with the other teams' pieces must be made in order for the disk to remain on the board afterward.  Although the game uses quite a bit of skill to flick the disks, there's a very significant strategy element to the game.  There are many different variants and rules, as this game is very old and has had many different incarnations over the years.&#10;&#10;"
Das Amulett,Fantasy,3,6,"The objective of Das Amulett is to collect jewels to complete your amulet. You need seven different colored jewels or eight of any kind of jewels to complete the amulet and win the game. Powerful spell cards are auctioned off each turn using a fixed set of energy stones. (Each player has ten to use throughout the game.) The winning bidder places their winning bid (in energy stones) on the acquired spell card; this card will remain in play for a length of time related to the number of energy stones placed on it. Each turn energy stones are removed from the spell cards, and these energy stones are then available again for future bidding (so these energy stones are recycled throughout the game). The spell cards give each player some resource production (four different kinds of metals) and usually a special ability that can be used in the game. With the metal resources, the jewels are auctioned off on the main board and are acquired by the players in their quest to complete their amulet.&#10;&#10;Reimplemented by&#10;&#10;&#10;    Wizard's Brew&#10;&#10;&#10;"
Die Macher,Economic,3,5,"Die Macher is a game about seven sequential political races in different regions of Germany. Players are in charge of national political parties, and must manage limited resources to help their party to victory. The winning party will have the most victory points after all the regional elections. There are four different ways of scoring victory points. First, each regional election can supply one to eighty victory points, depending on the size of the region and how well your party does in it. Second, if a party wins a regional election and has some media influence in the region, then the party will receive some media-control victory points. Third, each party has a national party membership which will grow as the game progresses and this will supply a fair number of victory points. Lastly, parties score some victory points if their party platform matches the national opinions at the end of the game.&#10;&#10;The 1986 edition featured 4 parties from the old West Germany and supported 3-4 players. The 1997 edition supports up to 5 players in the re-united Germany and updated several features of the rules as well.  The 2006 edition also supports up to 5 players and adds a shorter 5 round variant and additional rules updates by the original designer.&#10;&#10;Die Macher is #1 in the Valley Games Classic Line&#10;&#10;"
Dinosaur Dice,Children's Game,2,4,"Bronto and T-Rex compete in the race. But only a dice showing a dinosaur will bring them closer to their target. Bad luck, if a bone or an egg appear on the dice: the dinosaur has to stop moving. A stoney strong dice competition for 2 - 4 players.&#10;&#10;"
Dominion: Intrigue,Card Game,2,4,"In Dominion: Intrigue (as with Dominion), each player starts with an identical, very small deck of cards. In the center of the table is a selection of other cards the players can &quot;buy&quot; as they can afford them. Through their selection of cards to buy, and how they play their hands as they draw them, the players construct their deck on the fly, striving for the most efficient path to the precious victory points by game end.&#10;&#10;You are a monarch, like your parents before you, a ruler of a small pleasant kingdom of rivers and evergreens. Unlike your parents, however, you have hopes and dreams! You want a bigger and more pleasant kingdom, with more rivers and a wider variety of trees. You want a Dominion! You will bring civilization to these people, uniting them under your banner.&#10;&#10;From the back of the box: &quot;Something's afoot. The steward smiles at you like he has a secret, or like he thinks you have a secret. There are secret plots brewing, you're sure of it. At the very least, there are yours. A passing servant murmurs 'The eggs are on the plate.' You frantically search your codebook for the translation before realizing he means that breakfast is ready. Excellent.&#10;Everything is going according to plan.&quot;&#10;&#10;Dominion: Intrigue adds rules for playing with up to 8 players at two tables or for playing a single game with up to 6 players when combined with Dominion. This game adds 25 new Kingdom cards and a complete set of Treasure and Victory cards. The game can be played alone by players experienced in Dominion or with the basic game of Dominion.&#10;&#10;Part of the Dominion series.&#10;&#10;Integrates with:&#10;&#10;    Dominion&#10;&#10;&#10;&#10;&#10;Also released as an expansion that requires the base game or card set to play: Dominion: Die Intrige &#226;&#128;&#147; Erweiterung.&#10;&#10;"
Dr. Jekyll & Mr. Hyde,Bluffing,3,4,"An interesting little game that uses a miniscule deck of 28 cards, consisting of 2 identical suits of Sun and Moon cards. Each partnership takes the part of either the Sun or Moon cult, and plays cards only of its designated suit. An interesting mechanic is that since the cards are dealt randomly, it is often necessary and even prudent to have an opponent play a card for you. The object of the game is to collect souls (of either cult) and temples of your own suit (which serve as a multiplier). Rounds move quickly, and points can add up dramatically.  (Description from original incarnation, named 'Twilight')&#10;&#10;"
Dracula,Horror,2,2,"From the publisher:&#10;&#10;Count Dracula has left his home in Transylvania to travel by ship to London, where he plans to hunt for innocent victims. The famous Dr. van Helsing got wind of Dracula's plans and immediately caught the next carriage to London. It is a race against time! Van Helsing tries to find and destroy all of the vampire's coffins, while the count tries to find five victims. Will the horror end tonight or will the count's reign of terror continue?&#10;&#10;Dracula is part of the Kosmos two-player series.&#10;&#10;Dracula is a two player game hand management/memory game. One player takes the role of Professor Van Helsing, the other player is Dracula. Van Helsing is trying to locate and destroy Dracula's coffins whilst Dracula is attempting to find victims that he can turn in to vampires.&#10;&#10;Each player has a deck of cards which they place face-down on the board. These cards contain the coffins/victims that they other player must find to win. They also contain minions, helpers and traps that can harm or distract the other player. Players can also place coloured barriers to obstruct their opponent's progress.&#10;&#10;Players move their pieces by playing from a second hand of action cards. Each action card contains an ability and a distance to be moved. When a player ends their move they reveal the card that their piece has landed on and (if it is one of their own) replace it with a new card. By a process of elimination and deduction they are trying to find their target cards before their health is worn down to zero by their opponent's traps.&#10;&#10;"
Dragon's Gold,Card Game,3,6,"In Dragon's Gold, each player controls a team of dragon hunters (two knights, a thief, and a wizard). Like all dragon hunters, they have only one goal: gold, silver, jewels and magic objects. As for actually killing a dragon? It's a piece of cake. But the most difficult part comes after the dragon is dead: the adventuring party has to figure out how to share the spoils.&#10;&#10;As soon as a dragon is overpowered, then some additional gems are revealed, and the players who had participated in that hunting party start a negotiation over how to divvy up the gems. If the sixty-second sand timer runs out, then no one gets treasure. When all of the dragons have been slain and the treasure claimed or discarded, the game ends and players score for their holdings, with silver and magic objects worth 1 point each, gold worth 3, the Black Diamond worth 7, and the colored gems scoring 10-15 points for those players who hold more than everyone else. (In the Advanced game, the colored gems score 8-12 points in addition to a variety bonus of 5 points for each set of different colored gems a player holds. The Black Diamond is worth 19 points [in the 2011 edition], but negates a player's score for all colored gems.)&#10;&#10;"
Dungeon Lords,Economic,2,4,"In Dungeon Lords, you are an evil dungeonlord who is trying to build the best dungeon out there. You hire monsters, build rooms, buy traps and defeat the do-gooders who wish to bring you down.&#10;&#10;From the publisher's webpage:&#10;&#10;Have you ever ventured with party of heroes to conquer dungeons, gain pride, experiences and of course rich treasure? And has it ever occurred to you how hard it actually is to build and manage such underground complex filled with corridors and creatures? No? Well now you can try. Put yourself in role of the master of underground, summon your servants, dig complex of tunnels and rooms, set traps, hire creatures and try to stop filthy heroes from conquering and plundering your precious creation. We can guarantee you will look on dark corners, lairs and their inhabitant from completely different perspective!&#10;&#10;Each turn, players use a hand of cards to choose where to place their worker.  Actions vary from mining gold, hiring monsters, buying traps etc.  Each action has three spots available - with each spot having different effects (e.g. mining gold lets you mine more gold in each spot).&#10;When using the cards, two cards will become locked and will not be able to be used next turn.&#10;&#10;There are 4 turns to place actions for each game &quot;year&quot; and two game years in a whole game.&#10;Each turn is identified as a &quot;season&quot;.  Each season, players will get to see the heroes and events to come in the following season.  Thus allowing them to prepare.&#10;&#10;At the end of each season (after the first), heroes will be allocated to each player according to their level of evil.  Heroes range from mighty heroes to sneaky thieves.  Each hero has their own power for which the player needs to prepare for.&#10;Finally, at the end of each year, the heroes will travel down into the dungeon to fight.&#10;&#10;Scoring in the game is based upon what you have built, the monsters you have hired and the heroes you have captured.&#10;&#10;"
Dungeon Twister,Adventure,2,2,"Dungeon Twister is a 2-player high level strategy game where 2 teams of adventurers with various powers are trapped in a dungeon. The board is composed of 8 rooms that can be moved and rotated by the players. Each turn, a player is able to spend actions to move around the dungeon, pick up and use items, battle with the opponents team, or turn and move the rooms of the dungeon.&#10;&#10;The goal is to reach 5 victory points.  Points are collected by moving adventurers out of the dungeon or by killing an opponent's adventurer. Treasures are disseminated across the whole dungeon and will bring the adventurers well-needed powers.&#10;&#10;Each player has the same characters, each with different powers. Some run fast, some fight or disarm traps. The cleric heals, magician burns everything in sight and the goblin is so weak that the simple fact of getting him out will bring you two victory points.&#10;&#10;Combat and actions are managed via cards. To move, fight, heal or turn a room, you must manage action points obtained by playing cards. Those cards are not drawn but selected from a set of cards by both players. Both players have access to the same panel of cards at the beginning of the game so the game is really about managing the resources and adapting to the changing environment.&#10;&#10;Dungeon Twister is the original game in the Dungeon Twister series&#10;&#10;"
Ebbe & Flut,Abstract Strategy,1,2,In this card game players build up cascades of moving cards across the playfield in order to get their cards to reach the final destination in the opposite corner.&#10;&#10;
Egizia,Ancient,2,4,"The players are builders in Ancient Egypt, competing to get the most fame building different monuments requested by the Pharaoh (the Sphinx, the Obelisk, the Temple, and the Pyramid).&#10;&#10;The game lasts 5 turns. In each turn, the players place their pawns on the board, along the banks of the Nile, getting the advantages shown on each square. On the right bank there are fixed squares where the players may get workers, improve their mercantile capabilities, influence the floods (and thus the fertility of the fields) and reserve the right to build the monuments (that are built only after all the placements are done). On the left bank the players may take cards that are deployed randomly on the 10 squares at the start of each turn; some of these cards are kept until the end of the game (cultivable fields, stone quarries, deities granting special advantages), while others are discarded after the use and offer multiple immediate advantages.&#10;&#10;In Egizia, the twist on the worker placement mechanic is that the players must place their pawns following the course of the Nile, moving northwards (from the top to the bottom of the board, that is seen from the Mediterranean Sea). In this way, each placement not only blocks the opponents from choosing the same square (except monuments, where multiple players are always allowed), but also forces the player to place his remaining pawns only on the squares below the one he just occupied (note that &quot;pawns&quot; are placed, since &quot;workers&quot; are one of the resources of the game, like grain and stones).&#10;&#10;When the placement phase is over, the workers of the players must be fed with the grain produced in the fields. The production of each field is based on the floods of the Nile, so some fields may not give grain each turn. If a player has not enough grain for all his workers, he has to buy it with Victory Points (the ratio is better for players with improved mercantile capabilities, recorded on a specific track on the board).&#10;&#10;After that, stones are received from the owned quarries and used to build the monuments (if the right to do was reserved earlier) along with the workers.&#10;&#10;When the game ends, the points scored during the game (mainly building the monuments) are added to the bonuses obtained fulfilling certain conditions on the Sphinx cards. Whoever has the highest total is the winner.&#10;&#10;Online Play&#10;&#10;&#10;     Yucata (turn-based)&#10;&#10;&#10;"
Eight-Minute Empire,Print & Play,2,5,"Eight-Minute Empire, by Ryan Laukat, is a quick game that implements the Civilization/Exploration theme using card-driven area control (by placing armies and cities in a small map) and set collection (by getting resources from the board and the cards). Players spread through the map in order to collect points at the end of the game by having majorities in regions and continents. All actions (such as land or sea movement, army production, or the founding of cities) are driven by cards that are face-up (six at a time) and available by increasing prices. Cards also contain resources, which also give points when the game ends if properly collected.&#10;&#10;Its first version was available as print-and-play, and a regular (Kickstarter funded) version was published in 2013. An expansion featuring a European map is available as an expansion (Eight-Minute Empire: Europe Expansion Board), and a stand-alone sequel has also been published (Eight-Minute Empire: Legends).&#10;&#10;From the publisher:&#10;Build an empire and conquer the land in around eight minutes!&#10;&#10;In Eight-Minute Empire, 2-5 players take turns selecting a card from six displayed.  The card gives a good, and also has an action that the player takes immediately.  Actions help players take over the map, but sets of goods are worth points at the end of the game, so players have to balance the two aspects.&#10;&#10;Eight-Minute Empire is the super-quick area control game with tough decisions.  It's easy to learn and perfect for when you only have a few minutes.&#10;&#10;"
El Grande,Renaissance,2,5,"In this award-winning game, players take on the roles of Grandes in medieval Spain.  The king's power is flagging, and these powerful lords are vying for control of the various regions.  To that end, you draft caballeros (knights in the form of colored cubes) into your court and subsequently move them onto the board to help seize control of regions.  After every third round, the regions are scored, and after the ninth round, the player with the most points is the winner.&#10;&#10;In each of the nine rounds, you select one of your 13 power cards to determine turn order as well as the number of caballeros you get to move from the provinces (general supply) into your court (personal supply).&#10;&#10;A turn then consists of selecting one of five action cards which allow variations to the rules and additional scoring opportunities in addition to determining how many caballeros to move from your court to one or more of the regions on the board (or into the castillo - a secretive tower). Normally, you may only place your caballeros into regions adjacent to the one containing the king pawn. The one hard and fast rule in El Grande is that nothing may move into or out of the king's region. One of the five action cards that is always available each round allows you to move the king to a new region. The other four action cards varying from round to round.&#10;&#10;The goal is to have a caballero majority in as many regions (and the castillo) as possible during a scoring round. Following the scoring of the castillo, you place any cubes you had stashed there into the region you had secretly indicated on your region dial. Each region is then scored individually according to a table printed in that region. Two-point bonuses are awarded for having sole majority in the region containing your Grande (large cube) and in the region containing the king.&#10;&#10;"
Elefantenparade,Abstract Strategy,2,4,"Players have 2 elephants each which move along the track, collecting mahogany logs if possible. You can either move any 3 elephants 1,2 &amp; 3 spaces in any order, or you can move all the elephants in a parade forward one place. The logs are on certain squares, so you try to move the other elephants so that yours land exactly onto the logs, without getting detached from the parade. Other squares are water, which lock the elephant down until all have passed, unless you have a parade and everyone moves forward one. At the end of the track are three palaces with more logs for the first, second and third elephants home. Most logs wins. A lovely game with Indian graphics and neat wooden elephants.&#10;&#10;"
Elfenland,Fantasy,2,6,"Elfenland is a redesign of the original White Wind game Elfenroads.  The game is set in the mythical world of the elves.  A group of fledgling elves (the players) are charged with visiting as many of the twenty Elfencities as they can over the course of 4 rounds.  To accomplish the task they will use various forms of transportation such as Giant Pigs, Elfcarts, Unicorns, Rafts, Magic Clouds, Trollwagons, and Dragons.&#10;&#10;Gameplay:  Players begin in the Elf capitol, draw one face down movement tile, and are dealt eight transport cards and a secret 'home' city card that they must reach at the end of the 4th round or lose points for each city space away from 'home' they are at the end of the game. Markers of each player's color are placed in each city on the board and are collected when the player visits that city (each counts as 1 point).&#10;  &#10;     The round proceeds in 2 stages.  The first part of the round consists of the drawing of Tiles showing the differing types of transport (except rafts) from a combination of face up and face down tiles (if a player doesn't like the 5 tiles that are face up; they can always draw blind from the face down tiles and hope to get one they need).  These transport tiles need to match the Transportation cards in your hand to use them most effectively.  After each player has a total of 4 tiles they take turns placing a tile on any one of the roads that run between the elf cities.  Only one transport tile may be placed on each road; so players may use other players tiles to travel if they have the matching cards in their hand.  This frequently causes a readjustment of planned travel routes as other players tiles can allow you to move farther or shorter than you had first thought.  Players can play their tiles to help themselves or hinder others by playing a slow mode of transport on another players (perceived) path.&#10;&#10;Each mode of transport has certain terrain it can travel through quickly or slowly, and those that it cannot. These are listed on the top of each transportation card by the number terrain symbols.  The number of terrain symbols equals how many matching cards you must play to move across a given tile in a given terrain.  For example, a Magic Cloud tile placed in a mountain would take one Magic cloud card to travel across (1 mountain symbol on card means Magic clouds are fast in mountains). If the same tile was placed on a road in forest terrain it would require 2 Magic Cloud cards to travel that route (2 Forest symbols on card means Magic Clouds are slow in Forest).  Magic Clouds cannot travel in desert terrain at all (no desert symbols on card). All modes of transport are different and Rafts can be used on rivers or lakes without needing tiles. Rafts go slow upstream (2 raft cards needed) and fast downstream (1 card needed).  The small lake requires 1 raft card to travel across and the larger lake requires 2 cards to travel across.  Players may keep one unused transport counter and up to 4 Transportation cards from one round to the next.&#10;&#10;The second part of the round begins after all players have finished placing their transportation tiles for the round.  Each player plays his cards and moves his elf-boot around the board collecting his tokens from the cities visited.  If there is a Transport tile on a route and a player has no matching Transportation card he may 'Caravan' across it by playing any 3 Transportation cards from his hand.&#10;&#10;As a bit of 'take that' each player has a trouble tile which can be placed next to any transportation tile during the first part of the round.  This counter means that in order to travel that path an additional card of the transport type must be played or 4 cards to 'Caravan'.&#10;&#10;Victory: if at the end of round 3 a player has visited all 20 cities he is the winner.  If not the game ends after round 4 when 'Home' cities are revealed and each player subtracts points for each city he is away from his 'home' subtracting that from his collected city tokens.  The person with the highest score wins.&#10;&#10;"
"Empyrean, Inc.",Card Game,2,4,"From various publisher web pages:&#10;&#10;Congratulations! You are now the CEO of your very own interstellar mega-corporation. Your goal is to build a commercial empire and corner the market in the resources valued by intelligent beings everywhere.&#10;&#10;Empyrean, Inc. is a self-contained card game for 2 to 4 players, Ages 9 and up. All the game artwork is by Studio Foglio.&#10;&#10;You begin a game of Empyrean, Inc. with a single planet under your control - your Home Planet. Each turn, that planet produces resources which you draw from three different card stacks, representing farm resources, mine resources, and factory resources. Each class contains four individual resources, like Nutragoo, Tritium, and Robots. Spend these resources to claim new planets, adding to your production in future turns. Or buy action cards that give random but powerful benefits. You can also trade resources with your fellow players.&#10;&#10;Or you might want to hold onto them, because once you have three of a particular resource in your hand, you can lay them down in front of you. Once you've laid a resource down, you can add additional cards to the set as you get them. When the set contains seven cards, you've cornered that resource. Corner enough resources and you win the game!&#10;&#10;You win a game of Empyrean, Inc. by being the first player to corner the market in 2, 3 or 4 different resources, depending on the number of players in the game. Cornering a resource means building a set of seven cards of that resource face up in front of you.&#10;&#10;"
En Garde,Card Game,2,2,"Experience the thrill of fencing&mdash; board game style! In this two-player game, tactics, skill, and a little bit of luck will determine the best fencer.  Teach yourselves the concepts with the basic game, test yourselves with the standard game, and challenge yourselves with the advanced game. Cards fly back and forth as the fencers attack, and parry-riposte.&#10;&#10;Who will be bold enough to attack first?  Is it possible to win with that initial attack or has your opponent beguiled you into an attack while waiting to mount a parry-riposte?&#10;&#10;En Garde is a very dynamic game&mdash; strategically rich yet easy to learn and play.  Three levels of rules are included in the game.&#10;&#10;Re-Imagined as:&#10;&#10;    Flash Duel: Second Edition&#10;&#10;&#10;&#10;&#10;"
Entdecker: Exploring New Horizons,Exploration,2,4,"[Careful: there are two similar games with Entdecker in the title. Don't confuse Die Neuen Entdecker (also known as Entdecker: Exploring New Horizons) with Entdecker, a different game. In short - if your Entdecker's board does not have a scout trail leading to native huts, it's not this Entdecker.]&#10;&#10;A reworking of the game Entdecker, this game still starts with a blank game board that represents an unexplored sea. Tiles are drawn and placed on squares on the board. As the tiles are placed, islands develop on the board and players pay to place settlements, forts, or scouts on these islands in an effort to become the most powerful explorer.&#10;&#10;Completed islands yield victory points to all who have invested in exploration on an island, but of course the most points go to the player who has established the strongest presence. This updated version adds a larger board, fees to enter from all but one edge of the board, a different income system, new bonus waterfall tiles, the ability to draw (for a price) from open stacks of tiles, and most of all an entirely new area of the board that represents scouts exploring jungles on the islands in search of exotic plants (this is the bonus discovery chip system revamped), and other changes.&#10;&#10;"
Escape: The Curse of the Temple,Adventure,1,5,"Escape: The Curse of the Temple is a cooperative game in which players must escape (yes...) from a temple (yes...) which is cursed (yes...) before the temple collapses and kills one or more explorers, thereby causing everyone to lose.&#10;&#10;The initial game board consists of a row of three square tiles, each showing a combination of two symbols, say, two green adventurers or one green adventurer and one blue key in one corner of the tile. All of the explorers start in the center tile &ndash; the safe room &ndash; and each player starts with a hand of five dice. Each die has five symbols:&#10;&#10;&#10;    A cursed mask &ndash; this die is set aside when rolled.&#10;    A golden mask &ndash; each such symbol counteracts two cursed masks, either your own or those of another explorer in the same room.&#10;    A red torch or blue key &ndash; these are used to enter rooms, access treasure, or activate gems.&#10;    A green adventurer, which appears twice on the die &ndash; you need these to move from room to room, and to activate some gems.&#10;&#10;&#10;Escape is played in real-time, with all players rolling dice and taking actions simultaneously. You must roll the right symbols to enter a room, and if you're at an open doorway, you can roll to reveal the next tile in the stack and add it to that doorway. Some rooms contain combinations of red and blue symbols, and if you (possibly working with other players in the same room) roll enough red or blue symbols, you &quot;discover&quot; magic gems, moving them from a separate gem depot onto that tile.&#10;&#10;The real-time aspect is enforced by a soundtrack to be played during the game. At certain points, a countdown starts, and if players aren't back in the safe room when time is up, they lose one of their dice.&#10;&#10;Once the exit tile is revealed, players can attempt to escape the temple by moving to that tile, then rolling a number of blue dice equal to the magic gems that haven't been removed from the gem depot. Thus, the more gems you find, the easier it is to escape the temple. When a player escapes, he gives one die to a player of his choice. If all players escape before the third countdown, everyone wins; if not, everyone loses, no matter how many players did escape.&#10;&#10;Escape: The Curse of the Temple includes two expansion modules that can be used individually or together. With the &quot;Treasures&quot; module, some rooms contain treasure, and when you reveal such a room, you place a face-down treasure chest on the tile. Roll the symbols on that chest tile, and you claim the treasure for use later: a key lets you teleport anywhere, a path lets you connect two rooms that otherwise have no door between them, and a medic kit heals all players instantly (putting black dice back into play). With the &quot;Curses&quot; module, some tiles &quot;curse&quot; players by forcing them to place one hand on their head, keep mute during play, or otherwise do what you wouldn't want to do while escaping a temple!&#10;&#10;"
Esels-Rennen,Animals,2,6,"First issued in 1989 for fewer players, the second edition (released in 1996) is for 2-6 players. The board has two sides, for racing either 3 or 4 colored donkeys. Players are given a card secretly, each showing the donkey's finishing order, a different result for each card. The board shows a patchwork of steps across a field from start to finish, each space with a colored arrow matching the donkeys. When you move a donkey onto a space marked with a green arrow pointing left, you then move the green donkey one space that way. If that space then has a blue arrow pointing right, you next move the blue donkey on one space that way. This goes on until you cannot move the final donkey because it is blocked. Eventually, the donkeys cross the finish line, and the player with the best matching result on their card wins. More of a competitive puzzle than a game, it is a nice diversion, but awkward because the donkeys constantly fall on their sides. Possibly Doris & Frank's first game and related to their Bunny Zick-Zack.&#10;&#10;3rd Place 1989 Hippodice Spieleautorenwettbewerb (as Donky [sic]).&#10;&#10;"
Excape,Dice,3,6,"This is Reiner Knizia's answer to venerable gamer designer Sid Sackson's Can't Stop.  For a turn, a player rolls two dice.  The die results are used to create a two digit number, like sixty-five or twenty-two.  If the result is a double, you can move your marker forward.  However, you can continue re-rolling your dice if the result isn't high enough.  Assuming you haven't ended your turn by rolling any of the X's on the dice, then you can 'bid' the results of your dice for movement.  If no one's beat your bid by the time it is your turn again, then you move your token that many spaces.&#10;&#10;"
